State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Illinois,Adams,17,1,2018-03-01,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-02,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-03,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-04,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-05,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-06,30,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-07,33,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-08,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-09,33,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-10,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-11,32,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-12,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-13,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-14,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-15,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-16,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-17,21,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-18,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-19,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-20,33,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-21,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-22,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-23,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-24,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-25,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-26,32,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-27,28,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-28,23,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-29,30,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-30,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-03-31,32,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-01,31,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-02,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-03,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-04,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-05,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-06,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-07,34,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-08,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-09,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-10,41,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-11,45,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-12,58,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-13,39,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-14,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-15,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-16,40,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-17,48,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-18,36,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-19,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-20,44,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-21,46,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-22,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-23,46,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-24,58,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-25,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-26,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-27,45,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-28,38,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-29,45,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-04-30,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-01,49,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-02,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-03,27,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-04,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-05,67,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-06,48,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-07,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-08,77,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-09,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-10,64,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-11,46,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-12,29,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-13,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-14,37,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-15,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-16,50,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-17,51,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-18,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-19,35,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-20,42,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-21,43,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-22,48,Good,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-23,51,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-24,67,Moderate,Ozone,17-001-0007,1
Illinois,Adams,17,1,2018-05-25,43,Good,Ozone,17-001-0007,1
