STATION,DATE,LATITUDE,LONGITUDE,NAME,TMAX,TMIN,tavg_calc
USC00110072,1/1/2015,41.20693,-90.74187,"ALEDO, IL US",21.02,-0.04,10.49
USC00110072,1/2/2015,41.20693,-90.74187,"ALEDO, IL US",33.08,14,23.54
USC00110072,1/3/2015,41.20693,-90.74187,"ALEDO, IL US",35.96,15.98,25.97
USC00110072,1/4/2015,41.20693,-90.74187,"ALEDO, IL US",33.08,19.94,26.51
USC00110072,1/5/2015,41.20693,-90.74187,"ALEDO, IL US",19.94,-2.02,8.96
USC00110072,1/6/2015,41.20693,-90.74187,"ALEDO, IL US",8.06,-2.02,3.02
USC00110072,1/7/2015,41.20693,-90.74187,"ALEDO, IL US",10.04,-2.92,3.56
USC00110072,1/8/2015,41.20693,-90.74187,"ALEDO, IL US",1.04,-11.92,-5.44
USC00110072,1/9/2015,41.20693,-90.74187,"ALEDO, IL US",21.02,-4,8.51
USC00110072,1/10/2015,41.20693,-90.74187,"ALEDO, IL US",8.06,-2.92,2.57
USC00110072,1/11/2015,41.20693,-90.74187,"ALEDO, IL US",24.98,-2.92,11.03
USC00110072,1/12/2015,41.20693,-90.74187,"ALEDO, IL US",33.98,14,23.99
USC00110072,1/13/2015,41.20693,-90.74187,"ALEDO, IL US",33.98,-2.02,15.98
USC00110072,1/14/2015,41.20693,-90.74187,"ALEDO, IL US",17.96,-2.02,7.97
USC00110072,1/15/2015,41.20693,-90.74187,"ALEDO, IL US",24.98,6.98,15.98
USC00110072,1/16/2015,41.20693,-90.74187,"ALEDO, IL US",37.04,17.96,27.5
USC00110072,1/17/2015,41.20693,-90.74187,"ALEDO, IL US",39.02,17.96,28.49
USC00110072,1/18/2015,41.20693,-90.74187,"ALEDO, IL US",42.98,32,37.49
USC00110072,1/19/2015,41.20693,-90.74187,"ALEDO, IL US",42.98,24.98,33.98
USC00110072,1/20/2015,41.20693,-90.74187,"ALEDO, IL US",42.98,26.06,34.52
USC00110072,1/21/2015,41.20693,-90.74187,"ALEDO, IL US",37.04,30.92,33.98
USC00110072,1/22/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,30.02,32.54
USC00110072,1/23/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,26.96,31.01
USC00110072,1/24/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,26.06,30.56
USC00110072,1/25/2015,41.20693,-90.74187,"ALEDO, IL US",46.04,26.06,36.05
USC00110072,1/26/2015,41.20693,-90.74187,"ALEDO, IL US",33.08,14,23.54
USC00110072,1/27/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,19.04,27.05
USC00110072,1/28/2015,41.20693,-90.74187,"ALEDO, IL US",32,24.08,28.04
USC00110072,1/29/2015,41.20693,-90.74187,"ALEDO, IL US",37.94,24.08,31.01
USC00110072,1/30/2015,41.20693,-90.74187,"ALEDO, IL US",37.94,17.96,27.95
USC00110072,1/31/2015,41.20693,-90.74187,"ALEDO, IL US",30.92,17.06,23.99
USC00110072,2/1/2015,41.20693,-90.74187,"ALEDO, IL US",35.96,28.04,32
USC00110072,2/2/2015,41.20693,-90.74187,"ALEDO, IL US",32,3.02,17.51
USC00110072,2/3/2015,41.20693,-90.74187,"ALEDO, IL US",15.08,1.94,8.51
USC00110072,2/4/2015,41.20693,-90.74187,"ALEDO, IL US",26.96,10.04,18.5
USC00110072,2/6/2015,41.20693,-90.74187,"ALEDO, IL US",15.08,-4,5.54
USC00110072,2/7/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,15.08,25.07
USC00110072,2/8/2015,41.20693,-90.74187,"ALEDO, IL US",44.06,26.06,35.06
USC00110072,2/9/2015,41.20693,-90.74187,"ALEDO, IL US",42.98,23,32.99
USC00110072,2/10/2015,41.20693,-90.74187,"ALEDO, IL US",28.04,14,21.02
USC00110072,2/11/2015,41.20693,-90.74187,"ALEDO, IL US",33.98,14,23.99
USC00110072,2/12/2015,41.20693,-90.74187,"ALEDO, IL US",33.08,5,19.04
USC00110072,2/13/2015,41.20693,-90.74187,"ALEDO, IL US",15.08,5,10.04
USC00110072,2/14/2015,41.20693,-90.74187,"ALEDO, IL US",30.92,12.92,21.92
USC00110072,2/15/2015,41.20693,-90.74187,"ALEDO, IL US",19.94,-0.94,9.5
USC00110072,2/16/2015,41.20693,-90.74187,"ALEDO, IL US",10.94,3.92,7.43
USC00110072,2/17/2015,41.20693,-90.74187,"ALEDO, IL US",21.02,8.06,14.54
USC00110072,2/18/2015,41.20693,-90.74187,"ALEDO, IL US",21.02,-0.04,10.49
USC00110072,2/19/2015,41.20693,-90.74187,"ALEDO, IL US",6.08,-4,1.04
USC00110072,2/20/2015,41.20693,-90.74187,"ALEDO, IL US",10.94,-5.08,2.93
USC00110072,2/21/2015,41.20693,-90.74187,"ALEDO, IL US",28.94,8.96,18.95
USC00110072,2/22/2015,41.20693,-90.74187,"ALEDO, IL US",30.92,8.06,19.49
USC00110072,2/23/2015,41.20693,-90.74187,"ALEDO, IL US",15.08,-5.08,5
USC00110072,2/24/2015,41.20693,-90.74187,"ALEDO, IL US",14,-5.98,4.01
USC00110072,2/25/2015,41.20693,-90.74187,"ALEDO, IL US",37.04,10.04,23.54
USC00110072,2/26/2015,41.20693,-90.74187,"ALEDO, IL US",24.08,8.96,16.52
USC00110072,2/28/2015,41.20693,-90.74187,"ALEDO, IL US",12.02,-11.92,0.05
USC00110072,3/1/2015,41.20693,-90.74187,"ALEDO, IL US",21.02,-2.02,9.5
USC00110072,3/2/2015,41.20693,-90.74187,"ALEDO, IL US",28.94,10.94,19.94
USC00110072,3/3/2015,41.20693,-90.74187,"ALEDO, IL US",32,10.94,21.47
USC00110072,3/4/2015,41.20693,-90.74187,"ALEDO, IL US",35.06,10.04,22.55
USC00110072,3/5/2015,41.20693,-90.74187,"ALEDO, IL US",19.94,-0.94,9.5
USC00110072,3/6/2015,41.20693,-90.74187,"ALEDO, IL US",19.94,-0.94,9.5
USC00110072,3/7/2015,41.20693,-90.74187,"ALEDO, IL US",37.04,8.06,22.55
USC00110072,3/8/2015,41.20693,-90.74187,"ALEDO, IL US",48.92,28.04,38.48
USC00110072,3/9/2015,41.20693,-90.74187,"ALEDO, IL US",48.92,24.98,36.95
USC00110072,3/10/2015,41.20693,-90.74187,"ALEDO, IL US",53.96,24.98,39.47
USC00110072,3/11/2015,41.20693,-90.74187,"ALEDO, IL US",60.08,35.06,47.57
USC00110072,3/12/2015,41.20693,-90.74187,"ALEDO, IL US",57.02,33.08,45.05
USC00110072,3/13/2015,41.20693,-90.74187,"ALEDO, IL US",62.06,35.06,48.56
USC00110072,3/14/2015,41.20693,-90.74187,"ALEDO, IL US",64.94,39.02,51.98
USC00110072,3/15/2015,41.20693,-90.74187,"ALEDO, IL US",62.06,33.08,47.57
USC00110072,3/16/2015,41.20693,-90.74187,"ALEDO, IL US",68,32,50
USC00110072,3/17/2015,41.20693,-90.74187,"ALEDO, IL US",78.08,37.94,58.01
USC00110072,3/18/2015,41.20693,-90.74187,"ALEDO, IL US",48.02,30.92,39.47
USC00110072,3/19/2015,41.20693,-90.74187,"ALEDO, IL US",48.92,28.94,38.93
