"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202528","28","07/06/2025","07/12/2025","2024-2025","SARS-CoV-2","10","Racine Ave PS","2025","25,650","10.40908736945","1.1","Minimal","202528-10-SARS-CoV-2"
"202442","42","10/13/2024","10/19/2024","2024-2025","Influenza A","9","North Branch PS","2024","0",,"0","Minimal","202442-9-Influenza A"
"202307","7","02/12/2023","02/18/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023",,,"0","Minimal","202307-5-RSV"
"202311","11","03/12/2023","03/18/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202311-6-Influenza B"
"202329","29","07/16/2023","07/22/2023","2022-2023","Influenza A","10","Racine Ave PS","2023","0",,"0","Minimal","202329-10-Influenza A"
"202414","14","03/31/2024","04/06/2024","2023-2024","SARS-CoV-2","9","North Branch PS","2024","75,712.5","10.87916758667","1.6","Minimal","202414-9-SARS-CoV-2"
"202332","32","08/06/2023","08/12/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202332-6-Influenza B"
"202334","34","08/20/2023","08/26/2023","2022-2023","SARS-CoV-2","8","Little Village","2023","278,475","11.44478621262","5.4","High","202334-8-SARS-CoV-2"
"202515","15","04/06/2025","04/12/2025","2024-2025","SARS-CoV-2","10","Racine Ave PS","2025","105,525","11.02335536083","3","Low","202515-10-SARS-CoV-2"
"202522","22","05/25/2025","05/31/2025","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2025","345,600","11.53857373381","6.6","High","202522-5-SARS-CoV-2"
"202225","25","06/19/2022","06/25/2022","2021-2022","Influenza A","6","West Pullman/Roseland","2022",,,"0","Minimal","202225-6-Influenza A"
"202446","46","11/10/2024","11/16/2024","2024-2025","Influenza A","11","125th St PS","2024","0",,"0","Minimal","202446-11-Influenza A"
"202245","45","11/06/2022","11/12/2022","2022-2023","Influenza B","4","Austin/Montclare","2022","0",,"0","Minimal","202245-4-Influenza B"
"202321","21","05/21/2023","05/27/2023","2022-2023","SARS-CoV-2","999","All sites","2023","114,498.214285714","11.05879871347","3.8","Moderate","202321-999-SARS-CoV-2"
"202603","3","01/18/2026","01/24/2026","2025-2026","SARS-CoV-2","5","Chicago Lawn/Ashburn","2026","152,601.85","11.18355979862","4","Moderate","202603-5-SARS-CoV-2"
"202336","36","09/03/2023","09/09/2023","2022-2023","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202336-11-Influenza B"
"202428","28","07/07/2024","07/13/2024","2023-2024","RSV","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202428-5-RSV"
"202441","41","10/06/2024","10/12/2024","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2024","17,850","10.25163822045","1.7","Minimal","202441-6-SARS-CoV-2"
"202232","32","08/07/2022","08/13/2022","2021-2022","Influenza B","4","Austin/Montclare","2022",,,"0","Minimal","202232-4-Influenza B"
"202224","24","06/12/2022","06/18/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","54,187.5","10.73389911482","1.9","Minimal","202224-5-SARS-CoV-2"
"202344","44","10/29/2023","11/04/2023","2023-2024","RSV","9","North Branch PS","2023","20,512.5","10.31201859406","3.3","Low","202344-9-RSV"
"202432","32","08/04/2024","08/10/2024","2023-2024","Influenza A","8","Little Village","2024","8,175","9.91248776133","2.9","Low","202432-8-Influenza A"
"202540","40","09/28/2025","10/04/2025","2025-2026","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202540-5-Influenza A"
"202348","48","11/26/2023","12/02/2023","2023-2024","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202348-10-Influenza B"
"202315","15","04/09/2023","04/15/2023","2022-2023","Influenza A","999","All sites","2023","2,475","9.39357520327","0","Minimal","202315-999-Influenza A"
"202528","28","07/06/2025","07/12/2025","2024-2025","RSV","4","Austin/Montclare","2025","1,987.5","9.29830713733","1","Minimal","202528-4-RSV"
"202451","51","12/15/2024","12/21/2024","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2024","390,862.5","11.59202400549","7.2","High","202451-5-SARS-CoV-2"
"202351","51","12/17/2023","12/23/2023","2023-2024","RSV","999","All sites","2023","109,933.928571429","11.04113174809","11","High","202351-999-RSV"
"202219","19","05/08/2022","05/14/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202219-4-RSV"
"202602","2","01/11/2026","01/17/2026","2025-2026","RSV","11","125th St PS","2026","4,229.86545681915","9.62632655359","1.1","Minimal","202602-11-RSV"
"202415","15","04/07/2024","04/13/2024","2023-2024","Influenza A","8","Little Village","2024","44,437.5","10.64774961807","6.2","Low","202415-8-Influenza A"
"202334","34","08/20/2023","08/26/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","2,025","9.30642502755","1","Minimal","202334-6-RSV"
"202536","36","08/31/2025","09/06/2025","2024-2025","RSV","6","West Pullman/Roseland","2025","0",,"0","Minimal","202536-6-RSV"
"202542","42","10/12/2025","10/18/2025","2025-2026","SARS-CoV-2","6","West Pullman/Roseland","2025","0",,"0","Minimal","202542-6-SARS-CoV-2"
"202323","23","06/04/2023","06/10/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202323-5-RSV"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202319-11-Influenza B"
"202515","15","04/06/2025","04/12/2025","2024-2025","Influenza A","10","Racine Ave PS","2025","21,900","10.34044411484","3.6","Low","202515-10-Influenza A"
"202414","14","03/31/2024","04/06/2024","2023-2024","SARS-CoV-2","8","Little Village","2024","108,675","11.03612964886","2.9","Low","202414-8-SARS-CoV-2"
