"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003887","2000-11-01","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  261",",,B","  100",",,B","   46",",,B"," 1250",",,B",,,,,,,"  190",",,B","  190",",,B","   98",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-02","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  194",",,B","   72",",,B","   26",",,B"," 0450",",,B",,,,,,,"  230",",,B","  240",",,B","   94",",,B","  112",",,B",,,,,,,,,,,,
"USW00003887","2000-11-03","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  167",",,B","   61",",,B","   30",",,B"," 1211",",,B",,,,,,,"  310",",,B","  320",",,B","   63",",,B","   72",",,B",,,,,,,,,,,,
"USW00003887","2000-11-04","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  150",",,B","   22",",,B","    9",",,B"," 0033",",,B",,,,,,,"  330",",,B","  330",",,B","   54",",,B","   63",",,B",,,,,,,,,,,,
"USW00003887","2000-11-05","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  167",",,B","  -11",",,B","   43",",,B"," 1050",",,B",,,,,,,"  160",",,B","  160",",,B","   94",",,B","  107",",,B",,,,,,,,,,,,
"USW00003887","2000-11-06","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","  160",",,B",,,,,"  150",",,B","   67",",,B","   79",",,B"," 1805",",,B",,,,,,,"  140",",,B","  140",",,B","  125",",,B","  161",",,B",,,,,,,,,,,,
"USW00003887","2000-11-07","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"  144",",,B","   39",",,B","   40",",,B"," 0903",",,B",,,,,,,"  240",",,B","  250",",,B","   89",",,B","  107",",,B",,,,,,,,,,,,
"USW00003887","2000-11-08","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    5",",,B",,,,,"   94",",,B","   22",",,B","   33",",,B"," 2359",",,B",,,,,,,"   20",",,B","   10",",,B","   67",",,B","   80",",,B",,,,,,,,,,,,
"USW00003887","2000-11-09","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","  277",",,B",,,,,"   61",",,B","   17",",,B","   73",",,B"," 1402",",,B",,,,,,,"  340",",,B","  340",",,B","  134",",,B","  165",",,B",,,,,,,,,,,,
"USW00003887","2000-11-10","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   22",",,B","    6",",,B","   48",",,B"," 0521",",,B",,,,,,,"  310",",,B","  280",",,B","   89",",,B","  112",",,B",,,,,,,,,,,,
"USW00003887","2000-11-11","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   83",",,B","    6",",,B","   42",",,B"," 2358",",,B",,,,,,,"  100",",,B","  100",",,B","   72",",,B","   89",",,B",,,,,,,,,,,,
"USW00003887","2000-11-12","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","   79",",,B",,,,,"  111",",,B","   17",",,B","   38",",,B"," 0042",",,B",,,,,,,"  110",",,B","  110",",,B","   80",",,B","   98",",,B",,,,,,,,,,,,
"USW00003887","2000-11-13","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","   20",",,B",,,,,"   72",",,B","    0",",,B","   57",",,B"," 2144",",,B",,,,,,,"  270",",,B","  270",",,B","   94",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-14","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"   22",",,B","  -17",",,B","   54",",,B"," 1122",",,B",,,,,,,"  270",",,B","  270",",,B","   98",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-15","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   67",",,B","  -39",",,B","   48",",,B"," 2352",",,B",,,,,,,"  190",",,B","  200",",,B","   94",",,B","  112",",,B",,,,,,,,,,,,
"USW00003887","2000-11-16","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"   67",",,B","  -28",",,B","   80",",,B"," 0849",",,B",,,,,,,"  270",",,B","  260",",,B","  130",",,B","  161",",,B",,,,,,,,,,,,
"USW00003887","2000-11-17","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"    0",",,B","  -56",",,B","   45",",,B"," 0039",",,B",,,,,,,"  300",",,B","  300",",,B","  103",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-18","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   33",",,B","  -72",",,B","   41",",,B"," 1040",",,B",,,,,,,"  260",",,B","  270",",,B","   98",",,B","  112",",,B",,,,,,,,,,,,
"USW00003887","2000-11-19","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   72",",,B","  -50",",,B","   66",",,B"," 1721",",,B",,,,,,,"  270",",,B","  270",",,B","  103",",,B","  134",",,B",,,,,,,,,,,,
"USW00003887","2000-11-20","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"   -6",",,B","  -67",",,B","   85",",,B"," 1316",",,B",,,,,,,"  290",",,B","  310",",,B","  116",",,B","  161",",,B",,,,,,,,,,,,
"USW00003887","2000-11-21","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"  -33",",,B"," -106",",,B","   43",",,B"," 0049",",,B",,,,,,,"  300",",,B","  310",",,B","   94",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-22","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   44",",,B"," -111",",,B","   18",",,B"," 1402",",,B",,,,,,,"  270",",,B","  300",",,B","   54",",,B","   63",",,B",,,,,,,,,,,,
