"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00094870","1997-06-01","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  156",",,M","  111",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-02","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  217",",,M","  139",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-03","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  183",",,M","  128",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-04","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  222",",,M","  106",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-05","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  233",",,M","  106",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-06","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  217",",,M","  150",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-07","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  206",",,M","  139",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-08","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  178",",,M","  133",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-09","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  244",",,M","  122",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-10","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  261",",,M","  111",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-11","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  267",",,M","  133",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-12","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  244",",,M","  156",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-13","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  250",",,M","  128",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-14","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  244",",,M","  128",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-15","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  272",",,M","  100",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-16","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  267",",,M","  161",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-17","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  283",",,M","  144",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-18","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  300",",,M","  167",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-19","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  328",",,M","  156",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-20","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  322",",,M","  206",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-06-21","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  306",",,M","  211",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
